O1,O2,O3,O4,O5,Y1,Y2,Y3,Y4,Y5
0.992,0.964,0.8,1.236,1.016,0.736,1.152,0.9,1.284,0.916
0.98,0.936,0.828,1.24,0.996,0.744,0.952,0.864,1.2,0.944
0.988,0.96,0.832,1.244,0.996,0.752,1.012,0.82,1.152,0.976
1,0.944,0.844,1.264,1.004,0.756,1.016,0.816,1.232,0.996
0.972,0.968,0.868,1.264,1.016,0.72,0.904,0.84,1.044,0.988
0.964,0.968,0.88,1.296,1.02,0.756,0.856,0.852,1.316,0.972
0.98,0.964,0.884,1.256,1.028,0.78,0.888,0.888,1.188,0.96
0.984,0.976,0.892,1.276,1.04,0.768,0.928,0.996,1.116,0.956
1,0.98,0.884,1.256,1.044,0.712,0.896,1.02,1.4,0.948
1.004,0.976,0.864,1.252,1.04,0.724,0.872,0.952,1.12,0.952
0.992,0.98,0.864,1.26,1.044,0.748,0.828,0.944,1.128,0.952
0.98,0.984,0.864,1.236,1.04,0.76,0.856,0.964,1.356,0.956
0.98,1,0.884,1.208,1.048,0.728,0.892,0.952,1.1,0.912
1.004,0.992,0.908,1.204,1.044,0.756,0.828,0.912,1.264,0.888
1.016,0.992,0.948,1.208,1.044,0.764,0.772,0.916,1.304,0.836
0.98,1,0.988,1.228,1.048,0.74,0.792,0.952,1.3,0.892
0.972,0.996,1.008,1.232,1.056,0.748,0.888,0.928,1.196,0.98
0.976,0.992,1.028,1.236,1.052,0.78,0.812,0.88,1.32,1.004
0.936,1.008,1.064,1.26,1.056,0.816,0.904,0.876,1.376,1.004
0.916,1.012,1.04,1.252,1.056,0.748,1.096,0.916,1.296,1.008
0.908,1.008,1.008,1.236,1.056,0.76,1.088,0.908,1.352,0.996
0.9,1,1.012,1.264,1.06,0.796,0.996,0.86,1.312,0.988
0.92,0.996,0.98,1.256,1.06,0.756,0.916,0.88,1.236,0.976
0.944,0.984,0.972,1.244,1.052,0.732,0.916,0.864,1.156,0.956
0.948,0.976,0.984,1.248,1.052,0.752,0.932,0.852,1.092,0.956
0.952,0.972,1.016,1.244,1.048,0.852,0.88,0.848,1.604,0.932
0.964,0.94,0.992,1.22,1.048,0.844,0.776,0.812,1.368,0.932
0.96,0.94,0.988,1.184,1.052,0.748,0.752,0.792,1.28,0.936
